freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.273e+02,6.546e+00,2.039e+01,2.543e+02
1.6,1.776e+02,2.005e+01,6.532e+01,2.629e+02
3.1,8.259e+01,2.698e+01,7.015e+01,1.797e+02
4.7,4.174e+02,4.547e+01,7.065e+01,5.335e+02
6.3,1.224e+03,3.824e+01,7.295e+01,1.335e+03
7.9,1.971e+03,2.438e+01,6.722e+01,2.062e+03
9.4,2.832e+03,2.639e+01,6.640e+01,2.925e+03
11.0,3.910e+03,3.731e+01,6.934e+01,4.017e+03
12.6,5.208e+03,5.088e+01,7.013e+01,5.329e+03
14.2,6.898e+03,4.383e+01,7.399e+01,7.016e+03
15.7,8.201e+03,5.336e+01,7.343e+01,8.328e+03
17.3,7.686e+03,5.949e+01,7.194e+01,7.817e+03
18.9,7.760e+03,6.905e+01,8.071e+01,7.910e+03
20.4,8.694e+03,8.648e+01,8.119e+01,8.862e+03
22.0,1.025e+04,7.561e+01,8.499e+01,1.042e+04
23.6,1.231e+04,5.638e+01,8.876e+01,1.245e+04
25.2,1.415e+04,7.474e+01,8.740e+01,1.431e+04
26.7,1.664e+04,1.329e+02,8.743e+01,1.686e+04
28.3,1.929e+04,1.654e+02,7.816e+01,1.953e+04
29.9,2.138e+04,9.284e+01,7.157e+01,2.155e+04
31.4,2.415e+04,1.025e+02,7.339e+01,2.432e+04
33.0,2.778e+04,1.467e+02,8.761e+01,2.801e+04
34.6,3.165e+04,1.740e+02,9.001e+01,3.191e+04
36.2,3.342e+04,1.457e+02,8.534e+01,3.365e+04
37.7,3.660e+04,7.901e+01,7.701e+01,3.675e+04
39.3,4.083e+04,4.497e+01,7.068e+01,4.095e+04
40.9,4.584e+04,4.064e+01,7.582e+01,4.596e+04
42.5,5.211e+04,1.090e+02,1.220e+02,5.234e+04
44.0,5.743e+04,7.557e+01,1.285e+02,5.763e+04
45.6,6.448e+04,2.999e+01,1.438e+02,6.466e+04
47.2,7.331e+04,3.344e+01,2.253e+02,7.357e+04
48.7,8.113e+04,4.012e+01,3.117e+02,8.148e+04
50.3,8.885e+04,4.447e+01,3.933e+02,8.929e+04
51.9,1.017e+05,6.190e+01,5.116e+02,1.023e+05
53.5,1.180e+05,8.820e+01,6.821e+02,1.188e+05
55.0,1.351e+05,1.403e+02,8.980e+02,1.361e+05
56.6,1.489e+05,2.875e+02,1.406e+03,1.506e+05
