freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.668e+01,4.024e+01,7.079e+02,7.648e+02
1.6,2.238e+01,8.244e+01,4.175e+02,5.223e+02
3.1,1.694e+01,8.897e+01,5.005e+01,1.560e+02
4.7,1.819e+01,8.470e+01,3.712e+02,4.741e+02
6.2,2.023e+01,8.415e+01,1.208e+03,1.313e+03
7.8,1.889e+01,9.465e+01,2.178e+03,2.291e+03
9.3,1.954e+01,9.042e+01,3.347e+03,3.457e+03
10.9,3.054e+01,6.517e+01,5.119e+03,5.215e+03
12.4,5.540e+01,5.672e+01,6.389e+03,6.502e+03
14.0,5.007e+01,8.300e+01,7.284e+03,7.417e+03
15.6,1.209e+02,9.035e+01,9.884e+03,1.010e+04
17.1,2.904e+02,8.295e+01,1.413e+04,1.450e+04
18.7,3.614e+02,1.080e+02,2.156e+04,2.203e+04
20.2,4.660e+02,1.873e+02,3.088e+04,3.153e+04
21.8,3.902e+02,3.644e+02,3.141e+04,3.216e+04
23.3,1.088e+02,4.302e+02,2.794e+04,2.848e+04
24.9,1.050e+02,3.951e+02,2.982e+04,3.032e+04
26.4,2.237e+02,2.469e+02,3.230e+04,3.277e+04
28.0,2.834e+02,1.188e+02,3.290e+04,3.330e+04
29.6,2.262e+02,1.365e+02,3.782e+04,3.819e+04
31.1,2.658e+02,1.196e+02,4.783e+04,4.822e+04
32.7,3.617e+02,9.563e+01,5.402e+04,5.448e+04
34.2,2.337e+02,1.040e+02,5.548e+04,5.582e+04
35.8,2.221e+02,1.255e+02,6.679e+04,6.714e+04
37.3,3.841e+02,1.425e+02,9.212e+04,9.265e+04
38.9,7.646e+02,1.635e+02,1.274e+05,1.283e+05
40.4,1.495e+03,2.505e+02,1.858e+05,1.875e+05
42.0,2.568e+03,5.790e+02,2.967e+05,2.999e+05
43.6,3.909e+03,1.393e+03,4.788e+05,4.841e+05
45.1,6.075e+03,3.850e+03,7.715e+05,7.815e+05
46.7,7.529e+03,1.031e+04,9.984e+05,1.016e+06
48.2,4.853e+03,1.369e+04,6.951e+05,7.136e+05
49.8,3.015e+03,8.764e+03,4.764e+05,4.882e+05
51.3,3.192e+03,4.687e+03,6.686e+05,6.765e+05
52.9,3.587e+03,8.928e+03,9.246e+05,9.372e+05
54.4,1.593e+04,2.519e+04,1.435e+06,1.476e+06
56.0,4.342e+04,5.128e+04,2.150e+06,2.245e+06
57.6,6.050e+04,7.421e+04,2.524e+06,2.658e+06
59.1,5.308e+04,8.269e+04,2.373e+06,2.509e+06
60.7,4.033e+04,7.998e+04,1.976e+06,2.096e+06
62.2,3.897e+04,7.674e+04,1.630e+06,1.746e+06
63.8,3.542e+04,7.570e+04,1.396e+06,1.507e+06
65.3,2.658e+04,7.540e+04,1.213e+06,1.315e+06
66.9,1.738e+04,7.314e+04,1.026e+06,1.116e+06
68.4,1.267e+04,7.020e+04,8.591e+05,9.420e+05
70.0,1.128e+04,7.076e+04,7.664e+05,8.484e+05
71.6,1.093e+04,7.035e+04,6.857e+05,7.670e+05
73.1,1.271e+04,6.409e+04,5.664e+05,6.432e+05
74.7,1.202e+04,5.321e+04,4.558e+05,5.210e+05
76.2,7.344e+03,5.908e+04,4.731e+05,5.396e+05
77.8,6.263e+03,9.366e+04,5.634e+05,6.633e+05
79.3,5.675e+03,1.096e+05,5.442e+05,6.595e+05
80.9,5.880e+03,1.068e+05,4.677e+05,5.804e+05
82.4,8.286e+03,9.487e+04,3.747e+05,4.779e+05
84.0,1.076e+04,8.633e+04,3.057e+05,4.027e+05
85.6,1.067e+04,8.260e+04,2.577e+05,3.509e+05
87.1,7.995e+03,7.774e+04,2.098e+05,2.955e+05
88.7,6.597e+03,7.051e+04,1.695e+05,2.466e+05
90.2,7.182e+03,6.050e+04,1.364e+05,2.041e+05
91.8,7.930e+03,5.316e+04,1.139e+05,1.750e+05
93.3,9.867e+03,4.915e+04,9.670e+04,1.557e+05
94.9,2.904e+04,4.117e+04,7.250e+04,1.427e+05
96.4,4.891e+04,3.319e+04,5.085e+04,1.330e+05
98.0,5.471e+04,3.114e+04,3.935e+04,1.252e+05
99.6,3.797e+04,3.258e+04,3.487e+04,1.054e+05
101.1,1.371e+04,3.173e+04,2.910e+04,7.453e+04
102.7,1.312e+04,2.712e+04,2.370e+04,6.394e+04
104.2,1.069e+04,2.436e+04,2.274e+04,5.779e+04
105.8,9.730e+03,2.022e+04,1.680e+04,4.675e+04
107.3,1.035e+04,1.474e+04,1.193e+04,3.702e+04
108.9,1.014e+04,9.340e+03,1.036e+04,2.984e+04
110.4,1.555e+04,9.907e+03,1.157e+04,3.703e+04
112.0,1.478e+04,1.226e+04,1.286e+04,3.989e+04
113.6,1.044e+04,1.292e+04,1.623e+04,3.959e+04
115.1,1.078e+04,1.404e+04,1.941e+04,4.422e+04
116.7,1.502e+04,1.573e+04,1.843e+04,4.917e+04
118.2,1.921e+04,1.434e+04,1.544e+04,4.899e+04
119.8,1.991e+04,1.184e+04,1.259e+04,4.434e+04
121.3,1.873e+04,9.211e+03,1.000e+04,3.794e+04
122.9,1.666e+04,6.835e+03,8.014e+03,3.151e+04
124.4,1.497e+04,5.007e+03,6.851e+03,2.682e+04
126.0,1.572e+04,3.690e+03,6.332e+03,2.574e+04
127.6,1.955e+04,3.052e+03,6.458e+03,2.906e+04
129.1,2.623e+04,3.687e+03,6.860e+03,3.677e+04
130.7,3.242e+04,4.762e+03,6.567e+03,4.375e+04
132.2,2.924e+04,4.379e+03,5.096e+03,3.871e+04
133.8,1.022e+04,2.457e+03,2.613e+03,1.529e+04
135.3,2.768e+03,2.130e+03,1.759e+03,6.657e+03
136.9,1.812e+03,2.614e+03,1.591e+03,6.017e+03
138.4,1.152e+03,3.216e+03,1.462e+03,5.831e+03
140.0,9.698e+02,3.695e+03,1.305e+03,5.970e+03
141.6,1.206e+03,4.097e+03,1.286e+03,6.589e+03
143.1,1.655e+03,4.193e+03,1.208e+03,7.055e+03
144.7,2.124e+03,4.228e+03,1.124e+03,7.477e+03
146.2,2.018e+03,3.699e+03,9.019e+02,6.618e+03
147.8,1.675e+03,2.959e+03,6.039e+02,5.237e+03
149.3,9.182e+02,2.961e+03,5.086e+02,4.388e+03
150.9,5.443e+02,3.923e+03,3.967e+02,4.864e+03
152.4,7.420e+02,5.528e+03,2.739e+02,6.544e+03
154.0,1.156e+03,7.980e+03,1.748e+02,9.311e+03
155.6,1.292e+03,9.470e+03,1.681e+02,1.093e+04
157.1,1.295e+03,8.940e+03,2.419e+02,1.048e+04
158.7,1.512e+03,8.564e+03,2.725e+02,1.035e+04
160.2,1.991e+03,9.134e+03,2.189e+02,1.134e+04
161.8,2.647e+03,1.077e+04,1.395e+02,1.356e+04
163.3,3.288e+03,1.097e+04,1.460e+02,1.441e+04
164.9,3.355e+03,8.386e+03,1.971e+02,1.194e+04
166.4,3.453e+03,7.696e+03,3.345e+02,1.148e+04
168.0,4.014e+03,6.249e+03,4.282e+02,1.069e+04
169.6,4.283e+03,6.012e+03,5.126e+02,1.081e+04
171.1,2.726e+03,9.086e+03,7.065e+02,1.252e+04
172.7,1.717e+03,8.886e+03,7.936e+02,1.140e+04
174.2,1.423e+03,7.336e+03,9.337e+02,9.693e+03
175.8,1.751e+03,5.447e+03,1.010e+03,8.208e+03
177.3,1.963e+03,4.167e+03,1.203e+03,7.333e+03
178.9,2.205e+03,3.388e+03,1.405e+03,6.997e+03
180.4,2.511e+03,2.990e+03,1.502e+03,7.002e+03
182.0,2.570e+03,3.009e+03,1.510e+03,7.089e+03
183.6,2.575e+03,3.244e+03,1.379e+03,7.198e+03
185.1,2.697e+03,3.483e+03,1.214e+03,7.394e+03
186.7,2.758e+03,3.688e+03,1.090e+03,7.536e+03
188.2,3.136e+03,3.989e+03,9.706e+02,8.096e+03
189.8,3.858e+03,3.780e+03,8.062e+02,8.445e+03
191.3,4.147e+03,3.062e+03,6.091e+02,7.818e+03
192.9,3.891e+03,2.363e+03,5.718e+02,6.826e+03
194.4,3.978e+03,2.590e+03,6.018e+02,7.170e+03
196.0,4.419e+03,3.002e+03,6.323e+02,8.053e+03
197.6,4.496e+03,2.846e+03,5.695e+02,7.912e+03
199.1,4.500e+03,2.737e+03,6.017e+02,7.839e+03
